Username,Netflix_Watch_Time,PrimeVideo_Watch_Time,Hotstar_Watch_Time,Zee5_Watch_Time
qgarza,40,7,3,8
njackson,15,14,17,3
brittanywalters,43,47,69,2
ggrant,37,27,4,0
mcfarlandmary,5,13,29,16
hwright,38,1,71,6
patrick77,45,41,69,13
wilsonmarissa,14,28,75,8
dmartin,0,48,20,13
robertoliver,21,17,19,6
yrandall,48,21,13,2
antoniotaylor,24,6,45,11
williammoreno,38,16,5,14
wilsonbrian,34,7,48,2
lisarodriguez,35,18,80,19
umatthews,23,36,24,2
stevenscharles,2,42,29,9
flynnjustin,5,54,29,3
travisbrown,24,17,58,20
sonya94,23,10,47,11
kylesullivan,13,42,34,20
smcdonald,4,38,21,17
ysmith,46,15,20,14
jasonanderson,24,17,71,7
joseph51,43,20,7,7
marilynwilliams,2,51,40,12
jonesjason,17,4,27,18
barnesrobert,45,20,27,20
davisbrandon,31,25,58,4
monica80,16,8,31,17
ortiztamara,34,16,74,13
christian79,37,25,46,7
fsanchez,8,32,63,2
michaelhampton,48,3,14,4
wsnyder,40,10,54,19
aayers,4,24,48,19
arthur64,29,33,32,17
jwilliams,0,43,14,17
thompsonangel,48,17,43,3
hannah24,18,27,20,14
ryanchristopher,0,46,33,16
tara68,48,11,64,3
peterbaldwin,40,19,64,19
crystaljohnson,12,9,47,5
james49,34,49,67,0
anthonyprince,38,20,62,0
katherine45,7,59,46,9
david00,15,3,30,18
christinascott,5,5,62,2
tiffany24,48,34,16,4
jenniferparker,42,30,70,5
davislisa,16,33,77,13
jimmorales,13,59,69,6
opowell,45,19,51,20
rogerstony,23,28,66,14
robert73,7,15,28,2
nancy83,21,1,75,17
garciajoyce,14,37,28,0
brian22,4,45,80,1
richard14,14,4,4,10
crystal57,4,32,30,8
tonyacrawford,42,31,27,17
jennifermcgrath,8,46,73,18
hmays,30,15,60,13
joseph26,12,6,12,13
arroyosamuel,22,27,52,14
rvargas,46,3,12,1
snavarro,25,46,43,3
burnettjeremiah,15,12,24,17
hillshirley,28,8,54,5
xwells,17,29,31,2
estewart,28,51,70,3
brittney35,3,41,69,0
hgilbert,5,59,30,5
james13,26,31,61,6
matthewenglish,25,57,7,5
bryanshields,24,0,49,8
chavezmichael,50,50,58,9
ericsnyder,27,44,71,15
micheleharmon,9,12,37,6
rrasmussen,3,37,69,1
ywilliams,47,20,7,1
grahamlaura,37,30,64,16
campbellsteven,10,3,65,2
smithlucas,11,4,76,2
jenniferpollard,43,55,30,12
collinsanthony,7,60,72,7
coryhale,37,38,5,19
salazarkeith,5,26,74,18
maldonadorobert,33,20,33,6
shawkins,42,45,40,7
xgarcia,16,25,16,20
andrewfrank,19,29,40,2
cindysmith,0,29,79,18
michael24,6,4,68,6
malik89,32,16,16,11
browngina,4,56,31,11
taylorsarah,18,10,56,17
mcfarlandashley,45,19,78,20
cookvanessa,33,0,70,9
williamyoung,42,6,17,8
frankanderson,7,56,13,17
kimberlywalton,9,17,36,19
danielmcclain,13,45,43,6
samanthacruz,43,40,33,16
williamslaurie,31,16,6,2
xpalmer,40,27,35,1
marymiller,0,21,16,20
laurajohnson,16,10,56,17
matthewrice,45,27,71,0
fsmith,7,4,19,17
erin67,2,53,47,18
michaelagarcia,35,9,55,4
phartman,2,19,46,1
thomasburgess,22,13,31,3
warrenkaren,22,49,71,13
robert18,39,47,19,7
davisrandall,10,51,22,13
thomas21,1,11,42,13
megansanchez,42,55,31,8
henryeaton,10,50,13,12
seth65,2,54,60,7
malonelawrence,12,52,58,11
patrickleslie,19,52,29,7
ewest,1,42,24,12
carmengriffin,21,17,8,8
andrewkim,22,41,65,12
meghan92,43,53,68,10
