Username,Netflix_Watch_Time,PrimeVideo_Watch_Time,Hotstar_Watch_Time,Zee5_Watch_Time
heather75,20,3,5,8
tinawilson,7,7,23,3
gonzalessherri,21,23,2,18
brianhuffman,13,1,0,6
kristagreen,7,16,0,17
travis48,6,22,13,7
jaredscott,14,18,25,27
pdelgado,0,24,22,13
hilljames,10,8,6,30
hjohnson,24,10,2,12
xmclean,3,11,19,8
uruiz,25,1,17,3
yramos,29,12,17,9
matthew28,26,20,28,27
ojones,11,18,22,2
gravesjames,1,21,24,9
edwardclark,2,27,27,3
david36,12,8,20,26
jeffery15,11,5,11,6
vanessaelliott,21,8,19,20
gomezbrandon,5,17,5,14
tonihoward,12,8,7,21
kcollier,10,26,7,26
parkermichelle,1,25,12,8
jcollins,2,6,28,22
dyercody,10,6,12,28
monteslaura,29,20,4,8
dicksonsheila,4,7,17,8
mjones,23,18,28,18
patrickdoyle,12,11,4,16
patrick54,15,2,27,3
victorialloyd,4,20,25,21
rmcdaniel,13,19,12,12
ccarrillo,19,14,8,17
johnstonkaren,27,30,5,23
timothy02,3,21,24,8
dyermorgan,24,20,3,9
tony58,13,5,0,30
joycebradley,23,28,16,24
kaitlyn74,5,16,27,20
leemelanie,9,26,19,6
fwalker,4,11,17,30
georgegutierrez,24,29,29,0
cwilkerson,19,10,0,3
dawn26,29,11,7,1
nmartin,7,28,30,2
christopher70,2,23,26,2
jhunt,24,17,4,21
yjohnson,15,30,5,8
melanie41,16,27,13,30
liudouglas,6,29,24,23
obrienrodney,22,6,12,21
lallen,20,11,28,16
eturner,14,3,7,2
nancyzuniga,10,0,17,7
ericmcknight,18,7,0,22
fitzgeraldjerry,20,1,2,28
joseph47,1,27,2,16
martinezamber,7,8,6,17
gwang,4,23,18,15
barrettcrystal,7,25,25,13
vickie46,6,3,21,13
burnettryan,11,13,14,27
stanleyemily,23,1,1,12
fware,23,10,7,6
kathleen77,6,17,4,13
lindasilva,5,8,7,27
dhensley,29,2,25,27
susanmedina,27,17,1,20
xbradley,17,26,0,29
sarah96,24,27,5,13
grichards,15,15,27,12
wwhite,28,1,12,0
thuang,12,8,9,13
poolejesse,22,30,21,22
torresbarbara,15,4,9,6
gcooper,30,1,23,17
danielvictoria,1,23,1,1
burkeraven,18,15,29,27
kellycampbell,16,5,30,16
benjamin31,2,27,2,19
nturner,2,21,12,3
thomas17,30,28,7,18
fryan,19,1,2,13
jlane,21,18,16,10
kathyadams,29,8,21,22
millerjulia,10,7,12,4
qnavarro,21,20,14,10
ashleycalhoun,29,24,0,14
annemiller,19,18,2,17
morenocole,6,16,4,29
armstronganthony,11,28,28,7
johnsoncory,11,9,14,26
lindaherman,17,22,19,25
robertahodges,20,16,5,26
jacksonrobert,17,9,30,28
padilladanielle,4,8,28,3
christopherpowell,23,17,8,9
reyesmarie,19,6,6,21
dawnmcclain,20,27,16,15
morrisbrianna,8,28,2,20
darren93,13,26,1,0
david58,10,24,20,8
antonio84,5,23,17,22
tracynguyen,13,17,0,2
gregorygonzales,30,28,17,1
xdorsey,26,11,17,4
asmith,13,4,9,11
brittney51,28,29,28,11
gregory11,6,21,21,3
terry70,11,24,28,27
trevor09,13,19,29,29
nancybrown,7,27,25,25
randy04,5,28,0,5
zjordan,23,29,25,29
wheelerbrian,13,25,8,5
deborahchapman,25,22,12,27
shall,1,27,7,6
fbradley,26,29,11,9
beth02,26,25,7,0
nancy39,21,6,10,8
christinahall,27,2,11,20
washingtonedward,16,12,10,30
spierce,0,3,5,18
andrea27,30,8,3,19
kellyjoseph,13,11,13,19
mathewpace,16,3,28,18
marshrichard,6,8,22,13
alexander53,0,16,21,23
wendyyoung,30,23,11,13
eugenewolf,2,30,19,10
coltonstokes,21,27,23,28
lmendoza,9,16,21,13
teresa68,10,12,17,4
aaronsnow,6,13,21,23
daviskatherine,28,5,18,9
karentucker,12,17,2,9
ipotts,6,13,19,20
hholland,10,14,14,21
adamsangela,6,16,25,28
stephaniealvarez,30,25,21,2
melissa05,9,16,10,2
joelwright,26,30,21,9
heatherjohnson,7,25,4,0
blewis,1,7,19,27
jcastro,24,2,13,28
krystal06,20,18,22,22
lauren41,12,15,7,4
scottjim,20,22,0,24
jenna99,13,7,25,30
oduffy,22,16,1,17
thomas94,7,29,14,4
edwardandrade,25,14,17,19
nlopez,10,30,19,26
ksantos,23,28,13,26
gmaynard,29,17,28,5
tammylittle,23,27,14,8
llawrence,24,7,24,24
alexisjackson,16,15,8,14
james11,2,22,7,8
bmullins,10,10,2,4
hdavis,4,7,22,4
garciasierra,22,6,13,13
swansonphillip,10,17,13,1
yvillarreal,6,26,12,28
amy03,24,18,4,12
angelwilliams,15,0,9,24
johnsonkimberly,12,27,17,23
danielle25,23,17,28,7
andrewlynch,15,7,13,15
rbarnes,0,12,21,21
wilsonholly,25,12,26,14
josesmith,29,4,17,0
cassandra98,29,12,18,21
michael04,0,2,4,27
johnmiller,14,5,8,12
allenhouston,10,6,10,10
warrenseth,24,28,8,24
elizabethbanks,30,26,8,26
gomezashley,2,15,5,17
rjordan,1,30,7,20
alexanderjones,2,24,24,0
nicolecook,30,7,26,0
tonyperez,19,4,4,15
walter45,21,3,30,6
sanchezsamantha,14,22,24,11
douglasellis,5,19,30,23
lindawelch,22,3,30,9
dennis37,3,18,2,18
jenniferramirez,21,29,12,30
michaelfitzgerald,22,6,18,22
hallmadeline,26,20,3,22
cbrooks,24,9,25,3
thomaspruitt,25,18,11,17
lialbert,13,21,2,16
crawfordlaura,20,10,3,26
hoffmanjoseph,15,3,30,11
harveyheather,20,28,22,4
hawkinselizabeth,13,5,30,20
millsdanielle,8,19,24,15
